,Backdoor,Analysis,DoS,Worms,Shellcode,Fuzzers,Reconnaissance,Exploits,Normal,Generic
Rule-based,0.00075,0.12059,0.00055,0.03063,0.07138,0.14534,0.06031,0.00931,0.0,0.00017
SVM,0.03,0.0422,0.00689,0.04845,0.07655,0.13882,0.02243,0.02707,0.00021,0.00168
Random Forest,0.02828,0.02219,0.01176,0.00023,0.00284,0.03565,0.0071,0.04177,0.11524,0.00124
XGBoost,0.028,0.03159,0.01619,0.00039,0.00476,0.08273,0.01014,0.02491,0.0345,0.0023
1D-CNN,0.02338,0.05534,0.00345,0.03312,0.03456,0.14534,0.01616,0.03799,0.00954,0.00161
LSTM,0.02964,0.0393,0.03066,0.00523,0.03041,0.14338,0.04203,0.0252,0.00144,0.00205
