condition,n_features,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_ci95_lo,test_macro_f1_ci95_hi,runtime_s
rfa_rf_proposal,14,0.6309742300008772,0.0026449975886920175,0.6289346575356832,0.632990659127354,18.262686491012573
filter_top30,30,0.5737808250417602,0.0035620922177401573,0.5713498579582802,0.5767983740562231,39.812599658966064
baseline_all_features,190,0.529511309316807,0.006941881128959793,0.5243263493712115,0.534853344185362,43.664414167404175
rfa_svm_original,190,0.5288441453944293,0.004331952425221177,0.5255793021505621,0.5321089886382964,42.0421416759491
rfa_plus_flow_pair,394,0.5042190372326685,0.007246230897950815,0.4982149604816454,0.5091902938275517,69.7326807975769
