condition,n_features,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_ci95_lo,test_macro_f1_ci95_hi,runtime_s
filter_top30,30,0.9183010434164443,0.00041657286202598644,0.9179850945771955,0.918612371203315,34.025474548339844
baseline_all_features,190,0.9175154089204364,0.0006266904520270629,0.9170175275588468,0.9180132902820259,34.969470739364624
rfa_svm_original,190,0.9170349891925215,0.0005990507719671218,0.9166320795189101,0.9175347985734976,35.047383546829224
rfa_rf_proposal,14,0.9091081395366121,0.00038499791799887113,0.9088487163112212,0.9094387299482849,15.057933807373047
rfa_plus_flow_pair,394,0.9048360493176952,0.0003927642429479148,0.9045134228628176,0.9050994042300184,61.52321982383728
