condition,seed,val_macro_f1,val_balanced_accuracy,test_macro_f1,test_balanced_accuracy
baseline_all_features,42,0.5031090393585351,0.4808740038536758,0.5365377192953937,0.5063422386003047
baseline_all_features,43,0.5074675345298603,0.48251729124770637,0.5375647657821998,0.507480777373944
baseline_all_features,44,0.4966161591569647,0.4764741127461113,0.5252763761568261,0.49627714136038115
baseline_all_features,45,0.5071637305884381,0.48533669090059595,0.525034704284817,0.49792444041372474
baseline_all_features,46,0.5049745015500718,0.48109540429916564,0.5231429810647986,0.4950158647502218
filter_top30,42,0.5591950537919217,0.5389926116883685,0.5712659338451619,0.5557410535145293
filter_top30,43,0.5450374956930277,0.5246164283694823,0.5793013996905827,0.5652427006110143
filter_top30,44,0.5524483485047292,0.5312830811918823,0.5707503496213402,0.5535703821749989
filter_top30,45,0.5476820137322729,0.5264925394285556,0.5722491204636901,0.55524409268048
filter_top30,46,0.5567448319957624,0.5371407760259779,0.5753373215880269,0.5598587868011163
rfa_svm_original,42,0.5030017503435733,0.48001988165299875,0.5242820476812222,0.4966883469876506
rfa_svm_original,43,0.49835636484242435,0.4769229246153607,0.5266298954124315,0.4979615302271901
rfa_svm_original,44,0.49846084675565516,0.4772946315827359,0.533773541479229,0.5037865620546216
rfa_svm_original,45,0.5030988932720069,0.4811689361123307,0.5331839824102962,0.5027048961336469
rfa_svm_original,46,0.50408346104131,0.4811642393368576,0.5263512599889673,0.49651464314901766
rfa_rf_proposal,42,0.6303669436052521,0.6474851835291444,0.6329562204237253,0.655676855911077
rfa_rf_proposal,43,0.6316641746686203,0.6487586229954405,0.6293836576488802,0.6522272131966735
rfa_rf_proposal,44,0.6274424111891495,0.6460354700562481,0.6273700904700659,0.6515102104599634
rfa_rf_proposal,45,0.6330175958029718,0.6509048948158778,0.6338796733276051,0.6588883292491262
rfa_rf_proposal,46,0.631918262586021,0.6479519196260061,0.6312815081341093,0.65531844777609
rfa_plus_flow_pair,42,0.49232559955466587,0.4667387573950877,0.5049977543955568,0.47545407175609034
rfa_plus_flow_pair,43,0.48907251297736803,0.46357006679795,0.5119853201155482,0.4811810071181828
rfa_plus_flow_pair,44,0.4821523951645704,0.45962727303855455,0.4926657647388627,0.4660518453186399
rfa_plus_flow_pair,45,0.49333894698490244,0.4668550893195742,0.5080797537960817,0.47755862316930536
rfa_plus_flow_pair,46,0.48867407807726676,0.46356133530030874,0.503366593117293,0.473108394069398
